"concept_cd","ICD_Description","Long_COVID_Likelihood_Speculative","Explanation_Speculative","Chronic_Status","Chronic_Explanation"
"ICD10:R74.9","Abnormal serum enzyme level, unspecified","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R77.2","Abnormality of alphafetoprotein","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R77.1","Abnormality of globulin","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R77.9","Abnormality of plasma protein, unspecified","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R85.81","Abnormal findings in specimens from female genital organs (R85.81)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R85.611","Abnormal findings in specimens from female genital organs (R85.611)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R87.611","Abnormal findings in specimens from female genital organs (R87.611)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R85.610","Abnormal findings in specimens from female genital organs (R85.610)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R87.610","Abnormal findings in specimens from female genital organs (R87.610)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R87.620","Abnormal findings in specimens from female genital organs (R87.620)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R78.81","Other specified abnormal findings (R78)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R87.810","Abnormal findings in specimens from female genital organs (R87.810)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R87.820","Abnormal findings in specimens from female genital organs (R87.820)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R79.82","Elevated C-reactive protein (CRP)","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R97.1","Abnormal tumor markers (R97.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R97.0","Abnormal tumor markers (R97.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R70.0","Elevated erythrocyte sedimentation rate","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R78.89","Other specified abnormal findings (R78)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R81","Other specified abnormal findings (R81)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R87.613","Abnormal findings in specimens from female genital organs (R87.613)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R87.623","Abnormal findings in specimens from female genital organs (R87.623)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R73.9","Hyperglycemia, unspecified","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R73.01","Impaired fasting glucose","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R73.02","Impaired glucose tolerance (oral)","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R75","Other specified abnormal findings (R75)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R85.612","Abnormal findings in specimens from female genital organs (R85.612)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R87.612","Abnormal findings in specimens from female genital organs (R87.612)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R87.622","Abnormal findings in specimens from female genital organs (R87.622)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R74.0","Nonspecific elevation of levels of transaminase and lactic acid dehydrogenase","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R76.12","Other specified abnormal findings (R76)","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R76.11","Other specified abnormal findings (R76)","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R85.618","Abnormal findings in specimens from female genital organs (R85.618)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R87.618","Abnormal findings in specimens from female genital organs (R87.618)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R87.89","Abnormal findings in specimens from female genital organs (R87.89)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R86.8","Other specified abnormal findings (R86)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R89.8","Abnormal findings in specimens from other organs, systems and tissues (R89.8)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R84.8","Abnormal findings in specimens from respiratory organs and thorax (R84.8)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R90.89","Other specified abnormal findings (R90)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R73.09","Other abnormal glucose","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R97.8","Abnormal tumor markers (R97.8)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R71.8","Other specified abnormal findings (R71)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R91.8","Other specified abnormal findings (R91)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R79.89","Other specified abnormal findings of blood chemistry","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R76.8","Other specified abnormal findings (R76)","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R77.8","Other specified abnormalities of plasma proteins","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R71.0","Other specified abnormal findings (R71)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R76.0","Other specified abnormal findings (R76)","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R87.616","Abnormal findings in specimens from female genital organs (R87.616)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R91.1","Other specified abnormal findings (R91)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R87.615","Abnormal findings in specimens from female genital organs (R87.615)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R85.619","Abnormal findings in specimens from female genital organs (R85.619)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R87.619","Abnormal findings in specimens from female genital organs (R87.619)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R87.629","Abnormal findings in specimens from female genital organs (R87.629)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R83.9","Abnormal findings in cerebrospinal fluid (R83.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R86.9","Other specified abnormal findings (R86)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R89.9","Abnormal findings in specimens from other organs, systems and tissues (R89.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R87.811","Abnormal findings in specimens from female genital organs (R87.811)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:R90.82","Other specified abnormal findings (R90)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:N17.0","Acute kidney failure with tubular necrosis","Moderate","Emerging evidence or plausible systemic associations","Acute","Typically acute condition or intervention"
"ICD10:N17.9","Acute kidney failure, unspecified","Moderate","Emerging evidence or plausible systemic associations","Acute","Typically acute condition or intervention"
"ICD10:N17.8","Other acute kidney failure","Moderate","Emerging evidence or plausible systemic associations","Acute","Typically acute condition or intervention"
"ICD10:N19","Unspecified kidney failure","Moderate","Emerging evidence or plausible systemic associations","Variable","Can be acute or chronic depending on context"
"ICD10:I26.09","Other pulmonary embolism with acute cor pulmonale","Moderate","Emerging evidence or plausible systemic associations","Acute","Typically acute condition or intervention"
"ICD10:I26.99","Other pulmonary embolism without acute cor pulmonale","Moderate","Emerging evidence or plausible systemic associations","Acute","Typically acute condition or intervention"
"ICD10:I26.02","Saddle embolus of pulmonary artery with acute cor pulmonale","Moderate","Emerging evidence or plausible systemic associations","Acute","Typically acute condition or intervention"
"ICD10:I26.92","Saddle embolus of pulmonary artery without acute cor pulmonale","Moderate","Emerging evidence or plausible systemic associations","Acute","Typically acute condition or intervention"
"ICD10:I26.01","Septic pulmonary embolism with acute cor pulmonale","Moderate","Emerging evidence or plausible systemic associations","Acute","Typically acute condition or intervention"
"ICD10:I26.90","Septic pulmonary embolism without acute cor pulmonale","Moderate","Emerging evidence or plausible systemic associations","Acute","Typically acute condition or intervention"
"ICD10:F40.01","Phobic anxiety disorders (F40.01)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:F06.4","Anxiety disorder due to known physiological condition","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:F41.9","Anxiety disorder, unspecified","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:F40.240","Claustrophobia","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:F40.243","Fear of blood","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:F40.231","Phobic anxiety disorders (F40.231)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:F41.1","Generalized anxiety disorder","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:F41.3","Other mixed anxiety disorders","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:F19.980","Mental, behavioral and neurodevelopmental disorders (F19.980)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:F41.8","Other specified anxiety disorders","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:F40.298","Phobic anxiety disorders (F40.298)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:F41.0","Panic disorder [episodic paroxysmal anxiety]","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:F40.9","Phobic anxiety disorders (F40.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:F94.0","Mental, behavioral and neurodevelopmental disorders (F94.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:F40.11","Phobic anxiety disorders (F40.11)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:F40.10","Phobic anxiety disorders (F40.10)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K81.0","Diseases of the digestive system (K81.0)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:K81.2","Diseases of the digestive system (K81.2)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K83.5","Other diseases of biliary tract (K83.5)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K80.46","Cholelithiasis (K80.46)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:K80.33","Cholelithiasis (K80.33)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:K80.42","Cholelithiasis (K80.42)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:K80.30","Calculus of bile duct without cholangitis or cholecystitis, without obstruction","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:K80.41","Cholelithiasis (K80.41)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:K80.40","Cholelithiasis (K80.40)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:K80.51","Cholelithiasis (K80.51)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:K80.50","Cholelithiasis (K80.50)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:K80.66","Cholelithiasis (K80.66)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:K80.62","Cholelithiasis (K80.62)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:K80.64","Cholelithiasis (K80.64)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:K80.71","Cholelithiasis (K80.71)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:K80.70","Cholelithiasis (K80.70)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:K80.12","Cholelithiasis (K80.12)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:K80.01","Cholelithiasis (K80.01)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:K80.00","Cholelithiasis (K80.00)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:K80.10","Cholelithiasis (K80.10)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:K80.18","Cholelithiasis (K80.18)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:K80.21","Cholelithiasis (K80.21)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:K80.20","Cholelithiasis (K80.20)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:K81.9","Diseases of the digestive system (K81.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K82.4","Diseases of the digestive system (K82.4)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K81.1","Diseases of the digestive system (K81.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K83.9","Other diseases of biliary tract (K83.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K82.9","Diseases of the digestive system (K82.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K83.1","Other diseases of biliary tract (K83.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K82.0","Diseases of the digestive system (K82.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K80.80","Cholelithiasis (K80.80)","Unlikely","No clear association with long COVID","Acute","Typically acute condition or intervention"
"ICD10:K83.8","Other diseases of biliary tract (K83.8)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K82.8","Diseases of the digestive system (K82.8)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
