Unnamed: 0,concept_cd,ICD_Description,Long_COVID_Likelihood_Speculative,Explanation_Speculative,Chronic_Status,Chronic_Explanation
25,ICD10:R19.00,"Intra-abdominal and pelvic swelling, mass and lump, unspecified site",Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
26,ICD10:R19.04,"Left lower quadrant abdominal swelling, mass and lump",Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
27,ICD10:R10.814,Left lower quadrant abdominal tenderness,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
28,ICD10:R10.32,Left lower quadrant pain,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
29,ICD10:R19.02,"Left upper quadrant abdominal swelling, mass and lump",Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
30,ICD10:R10.812,Left upper quadrant abdominal tenderness,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
31,ICD10:R10.12,Left upper quadrant pain,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
32,ICD10:R10.822,Left upper quadrant rebound abdominal tenderness,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
33,ICD10:R10.30,"Lower abdominal pain, unspecified",Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
34,ICD10:R18.8,Other ascites,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
35,ICD10:R19.5,Other fecal abnormalities,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
36,ICD10:R19.09,"Other intra-abdominal and pelvic swelling, mass and lump",Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
37,ICD10:R19.8,Other specified symptoms involving digestive system,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
38,ICD10:R10.2,Pelvic and perineal pain,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
39,ICD10:R19.05,"Periumbilic swelling, mass or lump",Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
40,ICD10:R10.33,Periumbilical pain,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
41,ICD10:R19.03,"Right lower quadrant abdominal swelling, mass and lump",Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
42,ICD10:R10.813,Right lower quadrant abdominal tenderness,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
43,ICD10:R10.31,Right lower quadrant pain,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
44,ICD10:R19.01,"Right upper quadrant abdominal swelling, mass and lump",Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
45,ICD10:R10.811,Right upper quadrant abdominal tenderness,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
46,ICD10:R10.11,Right upper quadrant pain,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
47,ICD10:R16.1,"Splenomegaly, not elsewhere classified",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
48,ICD10:R10.9,Unspecified abdominal pain,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
49,ICD10:R17,Unspecified jaundice,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
50,ICD10:R10.10,"Upper abdominal pain, unspecified",Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
51,ICD10:R19.2,Visible peristalsis,Low,Possible association based on systemic inflammation patterns,Can-be-Chronic,Symptom/condition that can become chronic if persistent
52,ICD10:R94.120,Abnormal pulmonary function study,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
53,ICD10:R79.81,Abnormal blood-gas level,Low,Possible association based on systemic inflammation patterns,Variable,Can be acute or chronic depending on context
54,ICD10:R79.1,Abnormal coagulation profile,Low,Possible association based on systemic inflammation patterns,Variable,Can be acute or chronic depending on context
55,ICD10:R83.6,Abnormal findings in cerebrospinal fluid (R83.6),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
56,ICD10:R85.69,Abnormal findings in specimens from female genital organs (R85.69),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
57,ICD10:R89.6,"Abnormal findings in specimens from other organs, systems and tissues (R89.6)",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
58,ICD10:R84.6,Abnormal findings in specimens from respiratory organs and thorax (R84.6),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
59,ICD10:R94.31,Abnormal electrocardiogram [ECG] [EKG],Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
60,ICD10:R94.01,Abnormal electrocardiogram [ECG] [EKG],Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
61,ICD10:R94.131,Abnormal hepatic function study,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
62,ICD10:R79.9,"Abnormal finding of blood chemistry, unspecified",Low,Possible association based on systemic inflammation patterns,Variable,Can be acute or chronic depending on context
63,ICD10:R93.1,Abnormal findings on diagnostic imaging of other body structures (R93.1),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
64,ICD10:R93.6,Abnormal findings on diagnostic imaging of other body structures (R93.6),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
65,ICD10:R93.2,Abnormal findings on diagnostic imaging of other body structures (R93.2),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
66,ICD10:R93.5,Abnormal findings on diagnostic imaging of other body structures (R93.5),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
67,ICD10:R93.3,Abnormal findings on diagnostic imaging of other body structures (R93.3),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
68,7934,Unknown category (7934),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
69,ICD10:R93.7,Abnormal findings on diagnostic imaging of other body structures (R93.7),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
70,ICD10:R93.0,Abnormal findings on diagnostic imaging of other body structures (R93.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
71,ICD10:R85.7,Abnormal findings in specimens from female genital organs (R85.7),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
72,ICD10:R76.9,Other specified abnormal findings (R76),Low,Possible association based on systemic inflammation patterns,Variable,Can be acute or chronic depending on context
73,ICD10:R89.4,"Abnormal findings in specimens from other organs, systems and tissues (R89.4)",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
74,ICD10:R78.71,Other specified abnormal findings (R78),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
75,ICD10:R79.0,Abnormal level of blood mineral,Low,Possible association based on systemic inflammation patterns,Variable,Can be acute or chronic depending on context
76,ICD10:R89.1,"Abnormal findings in specimens from other organs, systems and tissues (R89.1)",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
77,ICD10:R89.2,"Abnormal findings in specimens from other organs, systems and tissues (R89.2)",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
78,ICD10:R74.8,Abnormal levels of other serum enzymes,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
79,ICD10:R87.5,Abnormal findings in specimens from female genital organs (R87.5),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
80,ICD10:R84.5,Abnormal findings in specimens from respiratory organs and thorax (R84.5),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
81,ICD10:R94.30,"Abnormal result of cardiovascular function study, unspecified",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
82,ICD10:R94.39,Abnormal result of other cardiovascular function study,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
83,ICD10:R94.8,Abnormal results of function studies of other organs and systems,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
84,ICD10:R94.4,Abnormal results of kidney function studies,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
85,ICD10:R94.5,Abnormal results of liver function studies,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
86,ICD10:R94.7,Abnormal results of other endocrine function studies,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
87,ICD10:R94.09,Abnormal result of other cardiovascular function study,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
88,ICD10:R94.2,Abnormal results of pulmonary function studies,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
89,ICD10:R94.6,Abnormal results of thyroid function studies,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
90,ICD10:R74.9,"Abnormal serum enzyme level, unspecified",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
91,ICD10:R77.2,Abnormality of alphafetoprotein,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
92,ICD10:R77.1,Abnormality of globulin,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
93,ICD10:R77.9,"Abnormality of plasma protein, unspecified",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
94,ICD10:R85.81,Abnormal findings in specimens from female genital organs (R85.81),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
95,ICD10:R85.611,Abnormal findings in specimens from female genital organs (R85.611),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
96,ICD10:R87.611,Abnormal findings in specimens from female genital organs (R87.611),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
97,ICD10:R85.610,Abnormal findings in specimens from female genital organs (R85.610),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
98,ICD10:R87.610,Abnormal findings in specimens from female genital organs (R87.610),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
99,ICD10:R87.620,Abnormal findings in specimens from female genital organs (R87.620),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
100,ICD10:R78.81,Other specified abnormal findings (R78),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
101,ICD10:R87.810,Abnormal findings in specimens from female genital organs (R87.810),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
102,ICD10:R87.820,Abnormal findings in specimens from female genital organs (R87.820),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
103,ICD10:R79.82,Elevated C-reactive protein (CRP),Low,Possible association based on systemic inflammation patterns,Variable,Can be acute or chronic depending on context
104,ICD10:R97.1,Abnormal tumor markers (R97.1),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
105,ICD10:R97.0,Abnormal tumor markers (R97.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
106,ICD10:R70.0,Elevated erythrocyte sedimentation rate,Low,Possible association based on systemic inflammation patterns,Variable,Can be acute or chronic depending on context
107,ICD10:R78.89,Other specified abnormal findings (R78),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
108,ICD10:R81,Other specified abnormal findings (R81),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
109,ICD10:R87.613,Abnormal findings in specimens from female genital organs (R87.613),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
110,ICD10:R87.623,Abnormal findings in specimens from female genital organs (R87.623),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
111,ICD10:R73.9,"Hyperglycemia, unspecified",Low,Possible association based on systemic inflammation patterns,Variable,Can be acute or chronic depending on context
112,ICD10:R73.01,Impaired fasting glucose,Low,Possible association based on systemic inflammation patterns,Variable,Can be acute or chronic depending on context
113,ICD10:R73.02,Impaired glucose tolerance (oral),Low,Possible association based on systemic inflammation patterns,Variable,Can be acute or chronic depending on context
114,ICD10:R75,Other specified abnormal findings (R75),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
115,ICD10:R85.612,Abnormal findings in specimens from female genital organs (R85.612),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
116,ICD10:R87.612,Abnormal findings in specimens from female genital organs (R87.612),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
117,ICD10:R87.622,Abnormal findings in specimens from female genital organs (R87.622),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
118,ICD10:R74.0,Nonspecific elevation of levels of transaminase and lactic acid dehydrogenase,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
119,ICD10:R76.12,Other specified abnormal findings (R76),Low,Possible association based on systemic inflammation patterns,Variable,Can be acute or chronic depending on context
120,ICD10:R76.11,Other specified abnormal findings (R76),Low,Possible association based on systemic inflammation patterns,Variable,Can be acute or chronic depending on context
121,ICD10:R85.618,Abnormal findings in specimens from female genital organs (R85.618),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
122,ICD10:R87.618,Abnormal findings in specimens from female genital organs (R87.618),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
123,ICD10:R87.89,Abnormal findings in specimens from female genital organs (R87.89),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
124,ICD10:R86.8,Other specified abnormal findings (R86),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
125,ICD10:R89.8,"Abnormal findings in specimens from other organs, systems and tissues (R89.8)",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
126,ICD10:R84.8,Abnormal findings in specimens from respiratory organs and thorax (R84.8),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
127,ICD10:R90.89,Other specified abnormal findings (R90),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
128,ICD10:R73.09,Other abnormal glucose,Low,Possible association based on systemic inflammation patterns,Variable,Can be acute or chronic depending on context
129,ICD10:R97.8,Abnormal tumor markers (R97.8),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
130,ICD10:R71.8,Other specified abnormal findings (R71),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
131,ICD10:R91.8,Other specified abnormal findings (R91),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
132,ICD10:R79.89,Other specified abnormal findings of blood chemistry,Low,Possible association based on systemic inflammation patterns,Variable,Can be acute or chronic depending on context
133,ICD10:R76.8,Other specified abnormal findings (R76),Low,Possible association based on systemic inflammation patterns,Variable,Can be acute or chronic depending on context
134,ICD10:R77.8,Other specified abnormalities of plasma proteins,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
135,ICD10:R71.0,Other specified abnormal findings (R71),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
136,ICD10:R76.0,Other specified abnormal findings (R76),Low,Possible association based on systemic inflammation patterns,Variable,Can be acute or chronic depending on context
137,ICD10:R87.616,Abnormal findings in specimens from female genital organs (R87.616),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
138,ICD10:R91.1,Other specified abnormal findings (R91),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
139,ICD10:R87.615,Abnormal findings in specimens from female genital organs (R87.615),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
140,ICD10:R85.619,Abnormal findings in specimens from female genital organs (R85.619),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
141,ICD10:R87.619,Abnormal findings in specimens from female genital organs (R87.619),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
142,ICD10:R87.629,Abnormal findings in specimens from female genital organs (R87.629),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
143,ICD10:R83.9,Abnormal findings in cerebrospinal fluid (R83.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
144,ICD10:R86.9,Other specified abnormal findings (R86),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
145,ICD10:R89.9,"Abnormal findings in specimens from other organs, systems and tissues (R89.9)",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
146,ICD10:R87.811,Abnormal findings in specimens from female genital organs (R87.811),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
147,ICD10:R90.82,Other specified abnormal findings (R90),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
148,ICD10:N17.0,Acute kidney failure with tubular necrosis,Moderate,Emerging evidence or plausible systemic associations,Acute,Typically acute condition or intervention
149,ICD10:N17.9,"Acute kidney failure, unspecified",Moderate,Emerging evidence or plausible systemic associations,Acute,Typically acute condition or intervention
150,ICD10:N17.8,Other acute kidney failure,Moderate,Emerging evidence or plausible systemic associations,Acute,Typically acute condition or intervention
151,ICD10:N19,Unspecified kidney failure,Moderate,Emerging evidence or plausible systemic associations,Variable,Can be acute or chronic depending on context
152,ICD10:I26.09,Other pulmonary embolism with acute cor pulmonale,Moderate,Emerging evidence or plausible systemic associations,Acute,Typically acute condition or intervention
153,ICD10:I26.99,Other pulmonary embolism without acute cor pulmonale,Moderate,Emerging evidence or plausible systemic associations,Acute,Typically acute condition or intervention
154,ICD10:I26.02,Saddle embolus of pulmonary artery with acute cor pulmonale,Moderate,Emerging evidence or plausible systemic associations,Acute,Typically acute condition or intervention
155,ICD10:I26.92,Saddle embolus of pulmonary artery without acute cor pulmonale,Moderate,Emerging evidence or plausible systemic associations,Acute,Typically acute condition or intervention
156,ICD10:I26.01,Septic pulmonary embolism with acute cor pulmonale,Moderate,Emerging evidence or plausible systemic associations,Acute,Typically acute condition or intervention
157,ICD10:I26.90,Septic pulmonary embolism without acute cor pulmonale,Moderate,Emerging evidence or plausible systemic associations,Acute,Typically acute condition or intervention
158,ICD10:F40.01,Phobic anxiety disorders (F40.01),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
159,ICD10:F06.4,Anxiety disorder due to known physiological condition,Moderate-High,Well-documented secondary long COVID symptoms,Chronic,Inherently chronic condition or long-term management required
160,ICD10:F41.9,"Anxiety disorder, unspecified",Moderate-High,Well-documented secondary long COVID symptoms,Chronic,Inherently chronic condition or long-term management required
161,ICD10:F40.240,Claustrophobia,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
162,ICD10:F40.243,Fear of blood,Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
163,ICD10:F40.231,Phobic anxiety disorders (F40.231),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
164,ICD10:F41.1,Generalized anxiety disorder,Moderate-High,Well-documented secondary long COVID symptoms,Chronic,Inherently chronic condition or long-term management required
165,ICD10:F41.3,Other mixed anxiety disorders,Moderate-High,Well-documented secondary long COVID symptoms,Chronic,Inherently chronic condition or long-term management required
166,ICD10:F19.980,"Mental, behavioral and neurodevelopmental disorders (F19.980)",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
167,ICD10:F41.8,Other specified anxiety disorders,Moderate-High,Well-documented secondary long COVID symptoms,Chronic,Inherently chronic condition or long-term management required
168,ICD10:F40.298,Phobic anxiety disorders (F40.298),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
169,ICD10:F41.0,Panic disorder [episodic paroxysmal anxiety],Moderate-High,Well-documented secondary long COVID symptoms,Chronic,Inherently chronic condition or long-term management required
170,ICD10:F40.9,Phobic anxiety disorders (F40.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
171,ICD10:F94.0,"Mental, behavioral and neurodevelopmental disorders (F94.0)",Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
172,ICD10:F40.11,Phobic anxiety disorders (F40.11),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
173,ICD10:F40.10,Phobic anxiety disorders (F40.10),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
174,ICD10:K81.0,Diseases of the digestive system (K81.0),Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
175,ICD10:K81.2,Diseases of the digestive system (K81.2),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
176,ICD10:K83.5,Other diseases of biliary tract (K83.5),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
177,ICD10:K80.46,Cholelithiasis (K80.46),Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
178,ICD10:K80.33,Cholelithiasis (K80.33),Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
179,ICD10:K80.42,Cholelithiasis (K80.42),Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
180,ICD10:K80.30,"Calculus of bile duct without cholangitis or cholecystitis, without obstruction",Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
181,ICD10:K80.41,Cholelithiasis (K80.41),Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
182,ICD10:K80.40,Cholelithiasis (K80.40),Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
183,ICD10:K80.51,Cholelithiasis (K80.51),Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
184,ICD10:K80.50,Cholelithiasis (K80.50),Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
185,ICD10:K80.66,Cholelithiasis (K80.66),Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
186,ICD10:K80.62,Cholelithiasis (K80.62),Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
187,ICD10:K80.64,Cholelithiasis (K80.64),Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
188,ICD10:K80.71,Cholelithiasis (K80.71),Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
189,ICD10:K80.70,Cholelithiasis (K80.70),Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
190,ICD10:K80.12,Cholelithiasis (K80.12),Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
191,ICD10:K80.01,Cholelithiasis (K80.01),Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
192,ICD10:K80.00,Cholelithiasis (K80.00),Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
193,ICD10:K80.10,Cholelithiasis (K80.10),Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
194,ICD10:K80.18,Cholelithiasis (K80.18),Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
195,ICD10:K80.21,Cholelithiasis (K80.21),Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
196,ICD10:K80.20,Cholelithiasis (K80.20),Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
197,ICD10:K81.9,Diseases of the digestive system (K81.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
198,ICD10:K82.4,Diseases of the digestive system (K82.4),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
199,ICD10:K81.1,Diseases of the digestive system (K81.1),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
200,ICD10:K83.9,Other diseases of biliary tract (K83.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
201,ICD10:K82.9,Diseases of the digestive system (K82.9),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
202,ICD10:K83.1,Other diseases of biliary tract (K83.1),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
203,ICD10:K82.0,Diseases of the digestive system (K82.0),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
204,ICD10:K80.80,Cholelithiasis (K80.80),Unlikely,No clear association with long COVID,Acute,Typically acute condition or intervention
205,ICD10:K83.8,Other diseases of biliary tract (K83.8),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
206,ICD10:K82.8,Diseases of the digestive system (K82.8),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
207,ICD10:K91.5,Diseases of the digestive system (K91.5),Unlikely,No clear association with long COVID,Variable,Can be acute or chronic depending on context
